Protein	FHT_Protien_Count	FHT_Protien_ProteinLists	Unique Peptide Count	Unique Sequence Count	Froze_Core_2015_N1_0_10_13	Froze_Core_2015_N1_10_20_21	Froze_Core_2015_N1_20_30_20	Froze_Core_2015_N1_30_40_25	Froze_Core_2015_N1_40_50_16	Froze_Core_2015_N2_0_30_8	Froze_Core_2015_N2_30_40_10	Froze_Core_2015_N2_40_50_1	Froze_Core_2015_N2_50_60_34	Froze_Core_2015_N3_0_10_27	Froze_Core_2015_N3_10_20_30	Froze_Core_2015_N3_20_30_32	Froze_Core_2015_N3_30_40_9	Froze_Core_2015_N3_40_50_6	Froze_Core_2015_N3_50_60_28	Froze_Core_2015_S1_0_10_18	Froze_Core_2015_S1_10_20_33	Froze_Core_2015_S1_20_30_19	Froze_Core_2015_S1_30_40_3	Froze_Core_2015_S1_40_50_17	Froze_Core_2015_S1_50_60_23	Froze_Core_2015_S2_0_10_7	Froze_Core_2015_S2_10_20_24	Froze_Core_2015_S2_20_30_31	Froze_Core_2015_S2_30_40_15	Froze_Core_2015_S2_40_50_29	Froze_Core_2015_S2_50_60_2	Froze_Core_2015_S3_0_10_22	Froze_Core_2015_S3_10_20_5	Froze_Core_2015_S3_20_30_14	Froze_Core_2015_S3_30_40_12	Froze_Core_2015_S3_40_50_26	Froze_Core_2015_S3_50_60_4
S2_10_20_OSU_bin.16.fa.annotation_scaffold_7514_0002	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_7514_0002	1	1															1																		
S2_10_20_OSU_bin.16.fa.annotation_scaffold_77_0005	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_77_0005	1	1																											1						
S2_10_20_OSU_bin.16.fa.annotation_scaffold_794_0008	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_794_0008	1	1																												1					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_826_0002	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_826_0002	1	1																													1				
S2_10_20_OSU_bin.16.fa.annotation_scaffold_83_0017	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_83_0017	1	1					1																												
S2_10_20_OSU_bin.16.fa.annotation_scaffold_844_0003	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_844_0003	1	1																														1			
S2_10_20_OSU_bin.16.fa.annotation_scaffold_85_0014	2	"N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_7_0022, S2_10_20_OSU_bin.16.fa.annotation_scaffold_85_0014"	4	4		4	3	1		1					1							1		1	1			1				2	1				
S2_10_20_OSU_bin.16.fa.annotation_scaffold_85_0016	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_85_0016	3	3		1	3	1		1		1			1			1			5	1		3	1					1		9	2		1	1	
S2_10_20_OSU_bin.16.fa.annotation_scaffold_90_0008	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_90_0008	1	1																		1															
S2_10_20_OSU_bin.16.fa.annotation_scaffold_9007_0003	2	"N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_54_0006, S2_10_20_OSU_bin.16.fa.annotation_scaffold_9007_0003"	1	1							1																										
S2_10_20_OSU_bin.16.fa.annotation_scaffold_9082_0001	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_9082_0001	1	1		1																				1											
S2_10_20_OSU_bin.16.fa.annotation_scaffold_9082_0002	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_9082_0002	2	2		1		1														1			1												
S2_10_20_OSU_bin.16.fa.annotation_scaffold_91_0002	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_91_0002	3	3							1															1						1					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_91_0005	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_91_0005	2	2												1																				1	
S2_10_20_OSU_bin.16.fa.annotation_scaffold_938_0010	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_938_0010	1	1					1																												
S2_10_20_OSU_bin.16.fa.annotation_scaffold_958_0001	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_958_0001	1	1																													1				
S2_10_20_OSU_bin.16.fa.annotation_scaffold_96_0003	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_96_0003	1	1															1																		
S2_10_20_OSU_bin.16.fa.annotation_scaffold_96_0012	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_96_0012	1	1																											1						
S2_10_20_OSU_bin.16.fa.annotation_scaffold_971_0004	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_971_0004	1	1																												1					
S2_10_20_OSU_bin.16.fa.annotation_scaffold_977_0001	1	S2_10_20_OSU_bin.16.fa.annotation_scaffold_977_0001	1	1							1																										
S2_50_60_OSU_bin.32.fa.annotation_scaffold_1002_0007	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_1002_0007	1	1																	1																
S2_50_60_OSU_bin.32.fa.annotation_scaffold_1010_0007	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_1010_0007	1	1							2																							1		1	
S2_50_60_OSU_bin.32.fa.annotation_scaffold_1051_0011	3	"N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_23_0003, S2_10_20_OSU_bin.16.fa.annotation_scaffold_645_0008, S2_50_60_OSU_bin.32.fa.annotation_scaffold_1051_0011"	1	1				1																													
S2_50_60_OSU_bin.32.fa.annotation_scaffold_107_0008	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_107_0008	2	2							2																							1			
S2_50_60_OSU_bin.32.fa.annotation_scaffold_107_0011	2	"S2_50_60_OSU_bin.32.fa.annotation_scaffold_107_0011, S2_50_60_OSU_bin.32.fa.annotation_scaffold_36895_0001"	1	1		1		1																													
S2_50_60_OSU_bin.32.fa.annotation_scaffold_107_0025	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_107_0025	1	1															1																		
S2_50_60_OSU_bin.32.fa.annotation_scaffold_107_0037	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_107_0037	1	1																											1						
S2_50_60_OSU_bin.32.fa.annotation_scaffold_1117_0003	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_1117_0003	1	1			1																														
S2_50_60_OSU_bin.32.fa.annotation_scaffold_1117_0005	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_1117_0005	1	1																	1																
S2_50_60_OSU_bin.32.fa.annotation_scaffold_11298_0005	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_11298_0005	1	1																				1													1
S2_50_60_OSU_bin.32.fa.annotation_scaffold_1188_0003	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_1188_0003	1	1																					1												
S2_50_60_OSU_bin.32.fa.annotation_scaffold_1190_0004	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_1190_0004	1	1																					1												
S2_50_60_OSU_bin.32.fa.annotation_scaffold_136_0025	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_136_0025	2	2		2	3		1		1	2										3		1	3						1				2		
S2_50_60_OSU_bin.32.fa.annotation_scaffold_138_0011	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_138_0011	1	1			1		1																												
S2_50_60_OSU_bin.32.fa.annotation_scaffold_138_0012	2	"S2_50_60_OSU_bin.32.fa.annotation_scaffold_138_0012, S2_50_60_OSU_bin.32.fa.annotation_scaffold_15_0080"	1	1		2	1	2	2	1		2						2	2		1				1					1	1	2	1				
S2_50_60_OSU_bin.32.fa.annotation_scaffold_138_0036	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_138_0036	2	1					1										1																		
S2_50_60_OSU_bin.32.fa.annotation_scaffold_15_0024	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_15_0024	1	1																									1								
S2_50_60_OSU_bin.32.fa.annotation_scaffold_15_0061	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_15_0061	2	2					1					1																							
S2_50_60_OSU_bin.32.fa.annotation_scaffold_15_0070	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_15_0070	1	1																							1										
S2_50_60_OSU_bin.32.fa.annotation_scaffold_15_0080	2	"S2_50_60_OSU_bin.32.fa.annotation_scaffold_15_0080, S2_50_60_OSU_bin.32.fa.annotation_scaffold_355_0016"	2	2		2	2	1		2		2	1						2		2	1	1	1	2	2				1		3	1		2	1	
S2_50_60_OSU_bin.32.fa.annotation_scaffold_150_0021	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_150_0021	1	1																								1									
S2_50_60_OSU_bin.32.fa.annotation_scaffold_150_0025	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_150_0025	1	1		1																															
S2_50_60_OSU_bin.32.fa.annotation_scaffold_151_0005	3	"S2_10_20_OSU_bin.16.fa.annotation_scaffold_678_0006, S2_50_60_OSU_bin.32.fa.annotation_scaffold_151_0005, S2_50_60_OSU_bin.32.fa.annotation_scaffold_38_0014"	2	2																	1	1															
S2_50_60_OSU_bin.32.fa.annotation_scaffold_151_0009	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_151_0009	2	2		1	1	1		2		1							1			1			1								1			1	
S2_50_60_OSU_bin.32.fa.annotation_scaffold_151_0023	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_151_0023	1	1						1																											
S2_50_60_OSU_bin.32.fa.annotation_scaffold_1554_0002	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_1554_0002	1	1																1																	
S2_50_60_OSU_bin.32.fa.annotation_scaffold_16121_0001	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_16121_0001	1	1																															1		
S2_50_60_OSU_bin.32.fa.annotation_scaffold_1648_0010	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_1648_0010	1	1																															1		
S2_50_60_OSU_bin.32.fa.annotation_scaffold_16484_0002	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_16484_0002	1	1																		1															
S2_50_60_OSU_bin.32.fa.annotation_scaffold_16719_0003	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_16719_0003	2	2		1	1	1																													
S2_50_60_OSU_bin.32.fa.annotation_scaffold_168_0007	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_168_0007	1	1						1	1	1			1			2	1														1				
S2_50_60_OSU_bin.32.fa.annotation_scaffold_168_0031	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_168_0031	1	1		1																															
S2_50_60_OSU_bin.32.fa.annotation_scaffold_172_0012	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_172_0012	1	1																												1					
S2_50_60_OSU_bin.32.fa.annotation_scaffold_17698_0005	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_17698_0005	1	1															1																		
S2_50_60_OSU_bin.32.fa.annotation_scaffold_181_0017	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_181_0017	1	1																									1								
S2_50_60_OSU_bin.32.fa.annotation_scaffold_181_0023	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_181_0023	1	1							1																										
S2_50_60_OSU_bin.32.fa.annotation_scaffold_18963_0002	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_18963_0002	1	1																																	1
S2_50_60_OSU_bin.32.fa.annotation_scaffold_1898_0002	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_1898_0002	1	1																					1												
S2_50_60_OSU_bin.32.fa.annotation_scaffold_19610_0002	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_19610_0002	1	1																		1															
S2_50_60_OSU_bin.32.fa.annotation_scaffold_20426_0002	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_20426_0002	1	1						1		2	1																	1	1						
S2_50_60_OSU_bin.32.fa.annotation_scaffold_2071_0001	2	"N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_94_0012, S2_50_60_OSU_bin.32.fa.annotation_scaffold_2071_0001"	1	1																												1					
S2_50_60_OSU_bin.32.fa.annotation_scaffold_2109_0002	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_2109_0002	1	1		1	1	1	1		1	1	1					1	1												1		1	1		1	
S2_50_60_OSU_bin.32.fa.annotation_scaffold_221_0016	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_221_0016	1	1									1																								
S2_50_60_OSU_bin.32.fa.annotation_scaffold_221_0027	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_221_0027	1	1																										1		1	1				
S2_50_60_OSU_bin.32.fa.annotation_scaffold_224_0001	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_224_0001	1	1																																	1
S2_50_60_OSU_bin.32.fa.annotation_scaffold_224_0012	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_224_0012	1	1																	1	1			1					1						1	
S2_50_60_OSU_bin.32.fa.annotation_scaffold_231_0022	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_231_0022	3	3						2		1						1												1		1	4				
S2_50_60_OSU_bin.32.fa.annotation_scaffold_237_0042	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_237_0042	2	2																												2					
S2_50_60_OSU_bin.32.fa.annotation_scaffold_2536_0005	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_2536_0005	4	4				3				2	4											1												2	1
S2_50_60_OSU_bin.32.fa.annotation_scaffold_2536_0007	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_2536_0007	4	4		3	3	9				4	4									1		3						2						5	1
S2_50_60_OSU_bin.32.fa.annotation_scaffold_26_0009	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_26_0009	1	1								1																									
S2_50_60_OSU_bin.32.fa.annotation_scaffold_26_0031	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_26_0031	1	1															1												1						
S2_50_60_OSU_bin.32.fa.annotation_scaffold_26_0043	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_26_0043	1	1		1									1					1	1	1			1	1						1	1		1		
S2_50_60_OSU_bin.32.fa.annotation_scaffold_261_0006	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_261_0006	2	2						1									2		2												1				
S2_50_60_OSU_bin.32.fa.annotation_scaffold_261_0022	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_261_0022	1	1																													1				
S2_50_60_OSU_bin.32.fa.annotation_scaffold_261_0030	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_261_0030	1	1																													1				
S2_50_60_OSU_bin.32.fa.annotation_scaffold_263_0015	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_263_0015	1	1																									1								
S2_50_60_OSU_bin.32.fa.annotation_scaffold_265_0020	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_265_0020	1	1		1																															
S2_50_60_OSU_bin.32.fa.annotation_scaffold_265_0045	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_265_0045	2	2																	1											1	1				
S2_50_60_OSU_bin.32.fa.annotation_scaffold_266_0008	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_266_0008	1	1		1							1		1				1			1													1		
S2_50_60_OSU_bin.32.fa.annotation_scaffold_2707_0005	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_2707_0005	5	5		4	3	5				3																							1		
S2_50_60_OSU_bin.32.fa.annotation_scaffold_2746_0008	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_2746_0008	1	1																									1					1	1	1	
S2_50_60_OSU_bin.32.fa.annotation_scaffold_2785_0007	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_2785_0007	1	1																												1					
S2_50_60_OSU_bin.32.fa.annotation_scaffold_28370_0004	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_28370_0004	2	2		2	1	1		2		4	1					1	3											2	1		1		2	1	
S2_50_60_OSU_bin.32.fa.annotation_scaffold_295_0004	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_295_0004	1	1																																1	
S2_50_60_OSU_bin.32.fa.annotation_scaffold_295_0009	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_295_0009	1	1																														1			
S2_50_60_OSU_bin.32.fa.annotation_scaffold_3049_0001	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_3049_0001	1	1											1																						
S2_50_60_OSU_bin.32.fa.annotation_scaffold_3049_0003	3	"N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_71_0008, S2_10_20_OSU_bin.16.fa.annotation_scaffold_735_0003, S2_50_60_OSU_bin.32.fa.annotation_scaffold_3049_0003"	1	1																												1					
S2_50_60_OSU_bin.32.fa.annotation_scaffold_32_0017	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_32_0017	1	1																				1							1	1					
S2_50_60_OSU_bin.32.fa.annotation_scaffold_32_0018	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_32_0018	1	1																	1																
S2_50_60_OSU_bin.32.fa.annotation_scaffold_32_0019	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_32_0019	1	1					1																												
S2_50_60_OSU_bin.32.fa.annotation_scaffold_32_0043	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_32_0043	1	1																													2				
S2_50_60_OSU_bin.32.fa.annotation_scaffold_32_0050	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_32_0050	1	1																																	1
S2_50_60_OSU_bin.32.fa.annotation_scaffold_3224_0003	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_3224_0003	13	13		6	2	2	1	1	1	1	2					1		2	11	4		2	3	2		1		3	3	13	4		1	1	1
S2_50_60_OSU_bin.32.fa.annotation_scaffold_33_0066	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_33_0066	1	1		1																															
S2_50_60_OSU_bin.32.fa.annotation_scaffold_33_0097	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_33_0097	3	3			1				1		2									4		2	3						4				1	2	1
S2_50_60_OSU_bin.32.fa.annotation_scaffold_332_0001	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_332_0001	1	1					1	1			1																						1	1	
S2_50_60_OSU_bin.32.fa.annotation_scaffold_342_0002	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_342_0002	2	2							1		1																								
S2_50_60_OSU_bin.32.fa.annotation_scaffold_347_0002	2	"S2_50_60_OSU_bin.32.fa.annotation_scaffold_347_0002, S2_50_60_OSU_bin.32.fa.annotation_scaffold_847_0002"	1	1																														1			
S2_50_60_OSU_bin.32.fa.annotation_scaffold_347_0017	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_347_0017	1	1															1																		
S2_50_60_OSU_bin.32.fa.annotation_scaffold_355_0002	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_355_0002	1	1																	1																
S2_50_60_OSU_bin.32.fa.annotation_scaffold_355_0008	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_355_0008	1	1																												1					
S2_50_60_OSU_bin.32.fa.annotation_scaffold_355_0016	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_355_0016	1	1																									1			1					
S2_50_60_OSU_bin.32.fa.annotation_scaffold_36_0038	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_36_0038	1	1																						1											
S2_50_60_OSU_bin.32.fa.annotation_scaffold_378_0001	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_378_0001	1	1																			1														
S2_50_60_OSU_bin.32.fa.annotation_scaffold_38_0014	2	"S2_10_20_OSU_bin.16.fa.annotation_scaffold_678_0006, S2_50_60_OSU_bin.32.fa.annotation_scaffold_38_0014"	1	1																												1					
S2_50_60_OSU_bin.32.fa.annotation_scaffold_395_0022	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_395_0022	1	1																																	1
S2_50_60_OSU_bin.32.fa.annotation_scaffold_398_0001	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_398_0001	1	1							1																										
S2_50_60_OSU_bin.32.fa.annotation_scaffold_398_0024	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_398_0024	1	1																	1																
S2_50_60_OSU_bin.32.fa.annotation_scaffold_398_0042	2	"S2_10_20_OSU_bin.16.fa.annotation_scaffold_511_0007, S2_50_60_OSU_bin.32.fa.annotation_scaffold_398_0042"	1	1																													1				
S2_50_60_OSU_bin.32.fa.annotation_scaffold_400_0005	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_400_0005	2	1		1																1															
S2_50_60_OSU_bin.32.fa.annotation_scaffold_443_0005	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_443_0005	1	1																											1						
S2_50_60_OSU_bin.32.fa.annotation_scaffold_443_0006	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_443_0006	1	1															1																		
S2_50_60_OSU_bin.32.fa.annotation_scaffold_4524_0001	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_4524_0001	1	1			1		1	1	1		1																					1	1		
S2_50_60_OSU_bin.32.fa.annotation_scaffold_4894_0001	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_4894_0001	1	1																1	1	1															
S2_50_60_OSU_bin.32.fa.annotation_scaffold_494_0016	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_494_0016	1	1																										1							
S2_50_60_OSU_bin.32.fa.annotation_scaffold_52_0012	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_52_0012	1	1				1																													
S2_50_60_OSU_bin.32.fa.annotation_scaffold_52_0031	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_52_0031	1	1					1																												
S2_50_60_OSU_bin.32.fa.annotation_scaffold_52_0042	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_52_0042	1	1																		1															
S2_50_60_OSU_bin.32.fa.annotation_scaffold_525_0008	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_525_0008	1	1				1																													
S2_50_60_OSU_bin.32.fa.annotation_scaffold_5406_0002	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_5406_0002	1	1																	1											1	1				
S2_50_60_OSU_bin.32.fa.annotation_scaffold_555_0003	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_555_0003	1	1			1																										1				
S2_50_60_OSU_bin.32.fa.annotation_scaffold_602_0006	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_602_0006	2	2																	1	1										2	1				
S2_50_60_OSU_bin.32.fa.annotation_scaffold_602_0007	2	"S2_10_20_OSU_bin.16.fa.annotation_scaffold_4710_0002, S2_50_60_OSU_bin.32.fa.annotation_scaffold_602_0007"	3	3																	4											3					
S2_50_60_OSU_bin.32.fa.annotation_scaffold_602_0008	3	"S2_10_20_OSU_bin.16.fa.annotation_scaffold_1107_0001, S2_10_20_OSU_bin.16.fa.annotation_scaffold_1107_0002, S2_50_60_OSU_bin.32.fa.annotation_scaffold_602_0008"	5	5		3		1	1												1	1			1							2	1				
S2_50_60_OSU_bin.32.fa.annotation_scaffold_602_0012	2	"N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa.annotation_N3_0_10_OSU_JGI_contam_bin.2.Gamma.94.fa_scaffold_450_0001, S2_50_60_OSU_bin.32.fa.annotation_scaffold_602_0012"	4	3																1	1					1						4					
S2_50_60_OSU_bin.32.fa.annotation_scaffold_6099_0001	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_6099_0001	1	1						1																											
S2_50_60_OSU_bin.32.fa.annotation_scaffold_628_0001	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_628_0001	5	5				3		2		3										3			5					2	3				1	8	
S2_50_60_OSU_bin.32.fa.annotation_scaffold_628_0002	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_628_0002	9	7				2					4								1	1			1											8	
S2_50_60_OSU_bin.32.fa.annotation_scaffold_642_0003	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_642_0003	1	1											1																						
S2_50_60_OSU_bin.32.fa.annotation_scaffold_69_0013	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_69_0013	1	1					1																1												
S2_50_60_OSU_bin.32.fa.annotation_scaffold_691_0002	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_691_0002	1	1					1																1												
S2_50_60_OSU_bin.32.fa.annotation_scaffold_7366_0008	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_7366_0008	1	1																		1															
S2_50_60_OSU_bin.32.fa.annotation_scaffold_761_0011	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_761_0011	1	1						1																											
S2_50_60_OSU_bin.32.fa.annotation_scaffold_773_0015	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_773_0015	1	1																									1								
S2_50_60_OSU_bin.32.fa.annotation_scaffold_8038_0003	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_8038_0003	1	1											1																						
S2_50_60_OSU_bin.32.fa.annotation_scaffold_815_0008	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_815_0008	1	1											1																						
S2_50_60_OSU_bin.32.fa.annotation_scaffold_847_0011	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_847_0011	1	1				1																													
S2_50_60_OSU_bin.32.fa.annotation_scaffold_8578_0005	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_8578_0005	1	1		1																															
S2_50_60_OSU_bin.32.fa.annotation_scaffold_86_0010	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_86_0010	1	1																											1	1	1				
S2_50_60_OSU_bin.32.fa.annotation_scaffold_86_0033	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_86_0033	1	1							1																										
S2_50_60_OSU_bin.32.fa.annotation_scaffold_958_0006	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_958_0006	1	1																												1					
S2_50_60_OSU_bin.32.fa.annotation_scaffold_9683_0002	1	S2_50_60_OSU_bin.32.fa.annotation_scaffold_9683_0002	1	1																					1												
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_0_0001	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_0_0001	5	5		2	5	3	3	1	9	4	3		1			2	2		2	6	1	3	4				1		1			1	1		
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_0_0005	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_0_0005	5	5		8	9	2	1	2	2	2	2					2	3			3		1	3												
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_0_0011	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_0_0011	3	3		3	4	6	1	1	2	4	4		1			3	2		3	4	1	1	2				1	1	1	1	1		1		1
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_0_0012	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_0_0012	1	1				1					1																								
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_0_0024	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_0_0024	1	1																														1			
S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_0_0034	1	S3_30_40_JGI_bin.1.arch.99.fa.annotation_S3_30_40_JGI_bin.1.arch.99pct.fa_scaffold_0_0034	1	1																			1														
